,State,Total Cases-State,New Cases-State,Total Deaths-State,New Deaths-State,Fatality Rate-State,Date-State
21760,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21759,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21758,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21757,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21756,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21755,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21754,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21753,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21752,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21751,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21844,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21845,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21846,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21847,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21940,California,852410,3334,16567,81,0.0194,2020-10-10
21939,California,852410,3334,16567,81,0.0194,2020-10-10
21938,California,852410,3334,16567,81,0.0194,2020-10-10
21937,California,852410,3334,16567,81,0.0194,2020-10-10
21936,California,852410,3334,16567,81,0.0194,2020-10-10
21935,California,852410,3334,16567,81,0.0194,2020-10-10
21934,California,852410,3334,16567,81,0.0194,2020-10-10
21933,California,852410,3334,16567,81,0.0194,2020-10-10
21932,California,852410,3334,16567,81,0.0194,2020-10-10
21931,California,852410,3334,16567,81,0.0194,2020-10-10
21930,California,852410,3334,16567,81,0.0194,2020-10-10
21929,California,852410,3334,16567,81,0.0194,2020-10-10
21928,California,852410,3334,16567,81,0.0194,2020-10-10
21927,California,852410,3334,16567,81,0.0194,2020-10-10
21926,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21925,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21924,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21923,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21922,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21921,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21920,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21919,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21918,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21917,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21916,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21915,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21914,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21913,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21912,Indiana,133411,1918,3782,21,0.0283,2020-10-10
21941,California,852410,3334,16567,81,0.0194,2020-10-10
