State,Total Cases,New Cases,Total Deaths,New Deaths,Fatality Rate,Latitude,Longitude,Date
Alabama,1952,187,49,4,0.0251,32.3182,-86.9023,2020-04-06
Alaska,190,5,6,0,0.0316,61.3707,-152.4044,2020-04-06
Arizona,2732,246,65,1,0.0238,33.7298,-111.4312,2020-04-06
Arkansas,875,38,16,0,0.0183,34.9697,-92.3731,2020-04-06
California,16019,985,380,32,0.0237,36.1162,-119.6816,2020-04-06
Colorado,5183,233,150,10,0.0289,39.0598,-105.3111,2020-04-06
Connecticut,6906,1231,206,17,0.0298,41.5978,-72.7554,2020-04-06
Delaware,783,110,15,1,0.0192,39.3185,-75.5071,2020-04-06
District of Columbia,1097,95,24,2,0.0219,38.8974,-77.0268,2020-04-06
Florida,13324,974,236,15,0.0177,27.7663,-81.6868,2020-04-06
Georgia,7314,667,229,18,0.0313,33.0406,-83.6431,2020-04-06
Idaho,1101,23,10,0,0.0091,44.2405,-114.4788,2020-04-06
Illinois,12262,1003,307,33,0.025,40.3495,-88.9861,2020-04-06
Indiana,4956,545,143,16,0.0289,39.8494,-86.2583,2020-04-06
Iowa,946,77,25,7,0.0264,42.0115,-93.2105,2020-04-06
Kansas,849,98,25,3,0.0294,38.5266,-96.7265,2020-04-06
Kentucky,955,0,45,0,0.0471,37.6681,-84.6701,2020-04-06
Louisiana,14867,1857,512,35,0.0344,31.1695,-91.8678,2020-04-06
Maine,499,29,10,0,0.02,44.6939,-69.3819,2020-04-06
Maryland,4045,428,91,24,0.0225,39.0639,-76.8021,2020-04-06
Massachusetts,13837,1337,260,29,0.0188,42.2302,-71.5301,2020-04-06
Michigan,17221,1503,727,110,0.0422,43.3266,-84.5361,2020-04-06
Minnesota,986,51,30,1,0.0304,45.6945,-93.9002,2020-04-06
Mississippi,1738,100,51,8,0.0293,32.7416,-89.6787,2020-04-06
Missouri,2736,389,47,3,0.0172,38.4561,-92.2884,2020-04-06
Montana,299,13,6,0,0.0201,46.9219,-110.4544,2020-04-06
Nebraska,417,53,9,1,0.0216,41.1254,-98.2681,2020-04-06
Nevada,1953,98,46,0,0.0236,38.3135,-117.0554,2020-04-06
New Hampshire,715,94,9,0,0.0126,43.4525,-71.5639,2020-04-06
New Jersey,41090,3585,1003,86,0.0244,40.2989,-74.521,2020-04-06
New Mexico,757,87,12,0,0.0159,34.8405,-106.2485,2020-04-06
New York,131815,8655,4698,539,0.0356,42.1657,-74.9481,2020-04-06
North Carolina,2962,313,45,7,0.0152,35.6301,-79.8064,2020-04-06
North Dakota,225,18,3,0,0.0133,47.5289,-99.784,2020-04-06
Ohio,4453,410,142,23,0.0319,40.3888,-82.7649,2020-04-06
Oklahoma,1329,75,51,5,0.0384,35.5653,-96.9289,2020-04-06
Oregon,1068,0,27,0,0.0253,44.572,-122.0709,2020-04-06
